Source,Target,Weight,Type
ZhaoyueCheng,abeljim,1,Undirected
ZhaoyueCheng,ethanjperez,1,Undirected
ZhaoyueCheng,thomwolf,1,Undirected
abeljim,ethanjperez,1,Undirected
abeljim,thomwolf,2,Undirected
ethanjperez,thomwolf,3,Undirected
dandelin,thomwolf,1,Undirected
bkgoksel,thomwolf,1,Undirected
Ashish-Gupta03,howardhsu,1,Undirected
Ashish-Gupta03,thomwolf,2,Undirected
howardhsu,thomwolf,1,Undirected
nikitakit,thomwolf,4,Undirected
antxiaojun,thomwolf,2,Undirected
lukovnikov,thomwolf,3,Undirected
koukoulala,thomwolf,2,Undirected
TIANRENK,imxiaomin,1,Undirected
TIANRENK,thomwolf,1,Undirected
imxiaomin,thomwolf,1,Undirected
rsanjaykamath,thomwolf,2,Undirected
elyase,thomwolf,7,Undirected
Jasperty,thomwolf,2,Undirected
Jasperty,valsworthen,1,Undirected
Jasperty,ylhsieh,1,Undirected
thomwolf,valsworthen,3,Undirected
thomwolf,ylhsieh,1,Undirected
valsworthen,ylhsieh,1,Undirected
LysandreJik,dan-hu-spring,1,Undirected
LysandreJik,danyaljj,6,Undirected
LysandreJik,susht3,1,Undirected
dan-hu-spring,danyaljj,1,Undirected
dan-hu-spring,susht3,1,Undirected
danyaljj,susht3,1,Undirected
susht3,thomwolf,2,Undirected
susht3,zhhongzhi,1,Undirected
thomwolf,zhhongzhi,1,Undirected
davidefiocco,elyase,1,Undirected
davidefiocco,thomwolf,11,Undirected
Bachstelze,JasonVann,1,Undirected
Bachstelze,KeremTurgutlu,1,Undirected
Bachstelze,SinghJasdeep,1,Undirected
Bachstelze,alphadl,1,Undirected
Bachstelze,echan00,1,Undirected
Bachstelze,gtesei,1,Undirected
Bachstelze,lileicc,1,Undirected
Bachstelze,nyck33,1,Undirected
Bachstelze,sailordiary,1,Undirected
Bachstelze,tacchinotacchi,1,Undirected
Bachstelze,thomwolf,2,Undirected
Bachstelze,torshie,1,Undirected
JasonVann,KeremTurgutlu,1,Undirected
JasonVann,SinghJasdeep,1,Undirected
JasonVann,alphadl,1,Undirected
JasonVann,echan00,1,Undirected
JasonVann,gtesei,1,Undirected
JasonVann,lileicc,1,Undirected
JasonVann,nyck33,1,Undirected
JasonVann,sailordiary,1,Undirected
JasonVann,tacchinotacchi,1,Undirected
JasonVann,thomwolf,1,Undirected
JasonVann,torshie,1,Undirected
KeremTurgutlu,SinghJasdeep,1,Undirected
KeremTurgutlu,alphadl,1,Undirected
KeremTurgutlu,echan00,1,Undirected
KeremTurgutlu,gtesei,1,Undirected
KeremTurgutlu,lileicc,1,Undirected
KeremTurgutlu,nyck33,1,Undirected
KeremTurgutlu,sailordiary,1,Undirected
KeremTurgutlu,tacchinotacchi,1,Undirected
KeremTurgutlu,thomwolf,1,Undirected
KeremTurgutlu,torshie,1,Undirected
SinghJasdeep,alphadl,1,Undirected
SinghJasdeep,echan00,1,Undirected
SinghJasdeep,gtesei,1,Undirected
SinghJasdeep,lileicc,1,Undirected
SinghJasdeep,nyck33,1,Undirected
SinghJasdeep,sailordiary,1,Undirected
SinghJasdeep,tacchinotacchi,1,Undirected
SinghJasdeep,thomwolf,2,Undirected
SinghJasdeep,torshie,1,Undirected
alphadl,echan00,1,Undirected
alphadl,gtesei,1,Undirected
alphadl,lileicc,1,Undirected
alphadl,nyck33,1,Undirected
alphadl,sailordiary,1,Undirected
alphadl,tacchinotacchi,1,Undirected
alphadl,thomwolf,1,Undirected
alphadl,torshie,1,Undirected
echan00,gtesei,1,Undirected
echan00,lileicc,1,Undirected
echan00,nyck33,1,Undirected
echan00,sailordiary,1,Undirected
echan00,tacchinotacchi,1,Undirected
echan00,thomwolf,2,Undirected
echan00,torshie,1,Undirected
gtesei,lileicc,1,Undirected
gtesei,nyck33,1,Undirected
gtesei,sailordiary,1,Undirected
gtesei,tacchinotacchi,1,Undirected
gtesei,thomwolf,1,Undirected
gtesei,torshie,1,Undirected
lileicc,nyck33,1,Undirected
